benchmark_id,family_role,property,top_group,E,M,X
M1,magic_axis,magic,X,0.0,0.03505810668087083,0.0857388459968176
M1,magic_axis,entanglement,M,0.0,6.66133814775094e-16,-1.1102230246251565e-15
M2,magic_axis,magic,M,0.0,0.3623214406160402,-4.440892098500626e-16
M2,magic_axis,entanglement,M,0.0,5.551115123125782e-16,-5.551115123125783e-16
M3,magic_axis,magic,M,,0.6034313602558846,
M3,magic_axis,entanglement,M,,2.220446049250313e-16,
M4,magic_axis,magic,M,0.0,0.676457972241202,0.17201431039780712
M4,magic_axis,entanglement,M,0.0,6.661338147750938e-16,0.0
M5,magic_axis,magic,M,0.0,0.7809193436499283,0.28159104591922146
M5,magic_axis,entanglement,E,0.0,0.0,0.0
E1,entanglement_axis,magic,M,9.992007221626409e-16,0.0727328083967903,
E1,entanglement_axis,entanglement,E,0.5371928122160612,-0.46280718778393876,
E2,entanglement_axis,magic,M,0.0,0.2674717381531799,
E2,entanglement_axis,entanglement,E,0.15467954429223274,0.1546795442922327,
E3,entanglement_axis,magic,X,0.0,-1.232595164407831e-32,0.19732733749896436
E3,entanglement_axis,entanglement,E,0.25543720157737404,0.0,0.25543720157737404
E4,entanglement_axis,magic,E,8.881784197001252e-16,,
E4,entanglement_axis,entanglement,E,0.6666666666666667,,
E5,entanglement_axis,magic,M,7.401486830834377e-17,0.09871939626643551,0.010154821103488827
E5,entanglement_axis,entanglement,E,0.4488546533549692,0.44545210978211497,0.001372439933864563
I11,interior,magic,X,7.401486830834377e-16,-1.4802973661668753e-16,0.13317260813013326
I11,interior,entanglement,E,0.04866761170007079,-1.4802973661668753e-16,0.04866761170007035
I15,interior,magic,X,7.401486830834377e-17,0.013718487192753887,0.12773476622921992
I15,interior,entanglement,E,0.4309793443671338,0.0006416216596772201,0.4263741140716717
I33,interior,magic,M,0.174311268136678,0.24961243400989566,0.17106137345903996
I33,interior,entanglement,E,0.24975700790416902,-1.480297366166875e-16,0.24975700790416902
I51,interior,magic,M,0.16415736138683337,0.5349180641278753,0.3776027350428272
I51,interior,entanglement,E,0.11181525588098092,0.1118152558809809,7.401486830834377e-16
I55,interior,magic,M,-7.401486830834378e-17,0.8320715940752503,0.023898038972426296
I55,interior,entanglement,M,0.35693971460336954,0.3569397146033698,-2.5905203907920316e-16
