benchmark_id,family_role,property,baseline_metric,group_scores,top_group,top_groups_tied,top_score,top_is_tie,bottom_group,bottom_groups_tied,bottom_score,bottom_is_tie,removed_top_group_gates,removed_bottom_group_gates,metric_without_top,metric_without_bottom,drop_top_abs,drop_bottom_abs,drop_top_rel,drop_bottom_rel,top_beats_bottom_abs,top_equals_bottom_abs
M1,magic_axis,magic,0.1207969526776893,"{'E': 0.0, 'M': 0.03505810668087083, 'X': 0.0857388459968176}",X,['X'],0.0857388459968176,False,E,['E'],0.0,False,"[3, 5]",[4],0.034133071862162634,0.1207969526776893,0.08666388081552667,0.0,0.7174343300427738,0.0,True,False
M1,magic_axis,entanglement,4.440892098500626e-16,"{'E': 0.0, 'M': 6.66133814775094e-16, 'X': -1.1102230246251565e-15}",E,"['E', 'M', 'X']",6.66133814775094e-16,True,E,"['E', 'M', 'X']",-1.1102230246251565e-15,True,[4],[4],4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,False,True
M2,magic_axis,magic,0.36232144061603977,"{'E': 0.0, 'M': 0.3623214406160402, 'X': -4.440892098500626e-16}",M,['M'],0.3623214406160402,False,E,"['E', 'X']",-4.440892098500626e-16,True,"[0, 4, 5, 6, 7]",[2],0.0,0.36232144061603977,0.36232144061603977,0.0,1.0,0.0,True,False
M2,magic_axis,entanglement,0.0,"{'E': 0.0, 'M': 5.551115123125782e-16, 'X': -5.551115123125783e-16}",E,"['E', 'M', 'X']",5.551115123125782e-16,True,E,"['E', 'M', 'X']",-5.551115123125783e-16,True,[2],[2],0.0,0.0,0.0,0.0,0.0,0.0,False,True
M3,magic_axis,magic,0.6034313602558856,{'M': 0.6034313602558846},M,['M'],0.6034313602558846,False,M,['M'],0.6034313602558846,False,"[0, 1, 3, 4, 5]","[0, 1, 3, 4, 5]",8.881784197001252e-16,8.881784197001252e-16,0.6034313602558847,0.6034313602558847,0.9999999999999986,0.9999999999999986,False,True
M3,magic_axis,entanglement,1.1102230246251565e-15,{'M': 2.220446049250313e-16},M,['M'],2.220446049250313e-16,False,M,['M'],2.220446049250313e-16,False,"[0, 1, 3, 4, 5]","[0, 1, 3, 4, 5]",8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,0.2,0.2,False,True
M4,magic_axis,magic,0.8484722826390092,"{'E': 0.0, 'M': 0.676457972241202, 'X': 0.17201431039780712}",M,['M'],0.676457972241202,False,E,['E'],0.0,False,"[1, 2, 3, 4, 7]","[0, 5]",0.1720143103978078,0.8484722826390092,0.6764579722412014,0.0,0.7972658460182217,0.0,True,False
M4,magic_axis,entanglement,6.661338147750939e-16,"{'E': 0.0, 'M': 6.661338147750938e-16, 'X': 0.0}",E,"['E', 'M', 'X']",6.661338147750938e-16,True,E,"['E', 'M', 'X']",0.0,True,"[0, 5]","[0, 5]",6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,0.0,0.0,False,True
M5,magic_axis,magic,1.06251038956915,"{'E': 0.0, 'M': 0.7809193436499283, 'X': 0.28159104591922146}",M,['M'],0.7809193436499283,False,E,['E'],0.0,False,"[0, 4, 5, 6]",[2],0.28159104591922146,1.06251038956915,0.7809193436499284,0.0,0.734975724770647,0.0,True,False
M5,magic_axis,entanglement,0.0,"{'E': 0.0, 'M': 0.0, 'X': 0.0}",E,"['E', 'M', 'X']",0.0,True,E,"['E', 'M', 'X']",0.0,True,[2],[2],0.0,0.0,0.0,0.0,0.0,0.0,False,True
E1,entanglement_axis,magic,0.0727328083967913,"{'E': 9.992007221626409e-16, 'M': 0.0727328083967903}",M,['M'],0.0727328083967903,False,E,['E'],9.992007221626409e-16,False,"[0, 1, 2]","[4, 5]",8.881784197001252e-16,0.0727328083967902,0.07273280839679042,1.1102230246251565e-15,0.9999999999999878,1.5264404731471024e-14,True,False
E1,entanglement_axis,entanglement,0.07438562443212238,"{'E': 0.5371928122160612, 'M': -0.46280718778393876}",E,['E'],0.5371928122160612,False,M,['M'],-0.46280718778393876,False,"[4, 5]","[0, 1, 2]",0.0,1.0,0.07438562443212238,-0.9256143755678776,1.0,-12.443457759940026,True,False
E2,entanglement_axis,magic,0.2674717381531799,"{'E': 0.0, 'M': 0.2674717381531799}",M,['M'],0.2674717381531799,False,E,['E'],0.0,False,"[0, 1, 2, 3]","[4, 5]",0.0,0.2674717381531799,0.2674717381531799,0.0,1.0,0.0,True,False
E2,entanglement_axis,entanglement,0.3093590885844655,"{'E': 0.15467954429223274, 'M': 0.1546795442922327}",E,"['E', 'M']",0.15467954429223274,True,E,"['E', 'M']",0.1546795442922327,True,"[4, 5]","[4, 5]",0.0,0.0,0.3093590885844655,0.3093590885844655,1.0,1.0,False,True
E3,entanglement_axis,magic,0.19732733749896436,"{'E': 0.0, 'M': -1.232595164407831e-32, 'X': 0.19732733749896436}",X,['X'],0.19732733749896436,False,E,"['E', 'M']",-1.232595164407831e-32,True,[0],"[1, 6]",0.0,0.19732733749896436,0.19732733749896436,0.0,1.0,0.0,True,False
E3,entanglement_axis,entanglement,0.5108744031547481,"{'E': 0.25543720157737404, 'M': 0.0, 'X': 0.25543720157737404}",E,"['E', 'X']",0.25543720157737404,True,M,['M'],0.0,False,"[1, 6]","[2, 4, 5]",0.0,0.5108744031547481,0.5108744031547481,0.0,1.0,0.0,True,False
E4,entanglement_axis,magic,2.6645352591003757e-15,{'E': 8.881784197001252e-16},E,['E'],8.881784197001252e-16,False,E,['E'],8.881784197001252e-16,False,"[3, 6]","[3, 6]",1.7763568394002505e-15,1.7763568394002505e-15,8.881784197001252e-16,8.881784197001252e-16,0.3333333333333333,0.3333333333333333,False,True
E4,entanglement_axis,entanglement,0.6666666666666685,{'E': 0.6666666666666667},E,['E'],0.6666666666666667,False,E,['E'],0.6666666666666667,False,"[3, 6]","[3, 6]",1.7763568394002505e-15,1.7763568394002505e-15,0.6666666666666667,0.6666666666666667,0.9999999999999973,0.9999999999999973,False,True
E5,entanglement_axis,magic,0.10887421736992442,"{'E': 7.401486830834377e-17, 'M': 0.09871939626643551, 'X': 0.010154821103488827}",M,['M'],0.09871939626643551,False,E,['E'],7.401486830834377e-17,False,"[0, 1]","[3, 5]",0.01015482110348831,0.10887421736992398,0.09871939626643611,4.440892098500626e-16,0.9067288716392327,4.078919881840992e-15,True,False
E5,entanglement_axis,entanglement,0.8956792030709488,"{'E': 0.4488546533549692, 'M': 0.44545210978211497, 'X': 0.001372439933864563}",E,['E'],0.4488546533549692,False,X,['X'],0.001372439933864563,False,"[3, 5]","[2, 4]",6.661338147750939e-16,0.8949644268422101,0.8956792030709482,0.0007147762287387227,0.9999999999999992,0.0007980270461656612,True,False
I11,interior,magic,0.13317260813013387,"{'E': 7.401486830834377e-16, 'M': -1.4802973661668753e-16, 'X': 0.13317260813013326}",X,['X'],0.13317260813013326,False,E,"['E', 'M']",-1.4802973661668753e-16,True,[2],"[3, 4, 5]",4.440892098500626e-16,0.13317260813013299,0.13317260813013343,8.881784197001252e-16,0.9999999999999967,6.669377675867197e-15,True,False
I11,interior,entanglement,0.097335223400141,"{'E': 0.04866761170007079, 'M': -1.4802973661668753e-16, 'X': 0.04866761170007035}",E,"['E', 'X']",0.04866761170007079,True,M,['M'],-1.4802973661668753e-16,False,"[3, 4, 5]","[0, 1]",0.0,0.097335223400141,0.097335223400141,0.0,1.0,0.0,True,False
I15,interior,magic,0.1414532534219739,"{'E': 7.401486830834377e-17, 'M': 0.013718487192753887, 'X': 0.12773476622921992}",X,['X'],0.12773476622921992,False,E,['E'],7.401486830834377e-17,False,[2],"[3, 4, 5]",0.013718487192754036,0.1414532534219739,0.12773476622921986,0.0,0.9030175209061473,0.0,True,False
I15,interior,entanglement,0.8579950800984828,"{'E': 0.4309793443671338, 'M': 0.0006416216596772201, 'X': 0.4263741140716717}",E,['E'],0.4309793443671338,False,M,['M'],0.0006416216596772201,False,"[3, 4, 5]","[0, 1]",0.0,0.8606754454149133,0.8579950800984828,-0.0026803653164304553,1.0,-0.003123986813680559,True,False
I33,interior,magic,0.5949850756056136,"{'E': 0.174311268136678, 'M': 0.24961243400989566, 'X': 0.17106137345903996}",M,['M'],0.24961243400989566,False,X,['X'],0.17106137345903996,False,"[4, 5, 6]","[0, 2]",0.2091918073973158,0.2875057115113191,0.38579326820829785,0.30747936409429455,0.6484083114448088,0.516785003020996,True,False
I33,interior,entanglement,0.499514015808338,"{'E': 0.24975700790416902, 'M': -1.480297366166875e-16, 'X': 0.24975700790416902}",E,"['E', 'X']",0.24975700790416902,True,M,['M'],-1.480297366166875e-16,False,"[1, 3]","[4, 5, 6]",0.0,0.49951401580833843,0.499514015808338,-4.440892098500626e-16,1.0,-8.890425409413504e-16,True,False
I51,interior,magic,1.076678160557536,"{'E': 0.16415736138683337, 'M': 0.5349180641278753, 'X': 0.3776027350428272}",M,['M'],0.5349180641278753,False,E,['E'],0.16415736138683337,False,"[0, 1, 2, 6]",[4],0.47233588583870745,0.5842060763970358,0.6043422747188285,0.49247208416050015,0.5613026221372245,0.45739952959153873,True,False
I51,interior,entanglement,0.22363051176196258,"{'E': 0.11181525588098092, 'M': 0.1118152558809809, 'X': 7.401486830834377e-16}",E,"['E', 'M']",0.11181525588098092,True,X,['X'],7.401486830834377e-16,False,[4],"[3, 5]",6.661338147750939e-16,0.2236305117619617,0.22363051176196191,8.881784197001252e-16,0.999999999999997,3.971633444391178e-15,True,False
I55,interior,magic,0.8559696330476765,"{'E': -7.401486830834378e-17, 'M': 0.8320715940752503, 'X': 0.023898038972426296}",M,['M'],0.8320715940752503,False,E,['E'],-7.401486830834378e-17,False,"[0, 1, 2, 3]","[5, 6, 7]",0.0,0.8559696330476765,0.8559696330476765,0.0,1.0,0.0,True,False
I55,interior,entanglement,0.7138794292067392,"{'E': 0.35693971460336954, 'M': 0.3569397146033698, 'X': -2.5905203907920316e-16}",E,"['E', 'M']",0.3569397146033698,True,X,['X'],-2.5905203907920316e-16,False,"[5, 6, 7]",[4],0.0,0.7138794292067396,0.7138794292067392,-4.440892098500626e-16,1.0,-6.220787316193342e-16,True,False
