K,gate_1_based,gate_0_based,gate_name,mean_phi,std_phi,num_runs,run_values
1,2,1,P,0.005604166556984558,0.004836515990119617,5,"[0.007426196083185012, 0.004883645456573248, 0.0024027413819329504, 0.013748719494892779, -0.0004404696316611964]"
1,4,3,P,0.0010699469796961155,0.0026429236900884796,5,"[0.0006148523138819945, -0.003391357898894149, 0.0029898954627787127, 0.0007461799027389968, 0.004390165117975023]"
1,5,4,CX,9.414453217265975e-05,0.005672351682346824,5,"[0.007019489890276236, -0.007153307738422999, 0.006495681794964204, -0.0022627532154880213, -0.0036283880704661214]"
1,6,5,P,-0.0014756027189682672,0.0016884598667849288,5,"[-0.0012522729071159807, -0.0008955717612242737, -0.004665042216051042, 0.0003689584554153071, -0.0009340851658653468]"
1,7,6,CX,0.015092770792530463,0.0043497359021126905,5,"[0.014712458176727786, 0.020996229463045794, 0.011050075244848247, 0.00976090661662129, 0.018944184461409202]"
1,8,7,H,0.012005070430718651,0.0031092700235797934,5,"[0.010212489708071133, 0.01820747857099404, 0.01083317316836107, 0.010526014204075904, 0.01024619650209111]"
1,9,8,P,0.0038613227941912014,0.003878627224201606,5,"[0.0062492054802083235, -0.0034478290264374307, 0.003189553875986654, 0.006677217744063033, 0.006638465897135428]"
1,10,9,H,0.009551137795229947,0.005039304648033091,5,"[0.003963698466394568, 0.009392709032836627, 0.006832265383799865, 0.008659535189783163, 0.01890748090333552]"
1,11,10,P,-0.00012722871046878743,0.0029284996981374703,5,"[-0.00025006579805159686, -0.002631452783255317, -0.004032832672322806, 0.0031760236741820397, 0.0031021840271037437]"
1,12,11,CX,0.004428604970555425,0.0036612601441619163,5,"[-0.0008395102092692604, 0.007483789910314781, 0.0009556027328324998, 0.008196308479677951, 0.006346833939221154]"
1,13,12,P,0.002972824918769404,0.002295095875814481,5,"[0.0037849833176064715, 0.0022555767728530676, 0.00016008485278259991, 0.006935436534126104, 0.0017280431164787776]"
1,14,13,CX,0.003895367675268367,0.0032918799040661385,5,"[0.0009186967910096345, 0.006617039223793479, -0.0010441649915911059, 0.006383691919708448, 0.006601575433421379]"
1,15,14,RY,0.004147896665030444,0.0034950505699486937,5,"[0.000645944241693069, 0.0033805995797832234, 0.002645086544646905, 0.010861961380219897, 0.003205891578809128]"
1,16,15,RY,0.008943640347366824,0.0032348507546806544,5,"[0.00791029736479919, 0.007250161898776168, 0.00588682767617479, 0.015175840208051414, 0.008495074589032557]"
1,17,16,CX,0.009243619886148288,0.004143536587535662,5,"[0.0037258661058286913, 0.013977553456589905, 0.004872775048662821, 0.012368297348154773, 0.011273607471505258]"
1,18,17,RY,0.006780740246718428,0.004646189145808045,5,"[0.008311313419263128, 0.0036098908731277742, 0.012918984777545103, -0.00035416872513170964, 0.009417680888787847]"
1,19,18,RY,-0.0012293089862930179,0.006478735505501965,5,"[-0.005058020989143977, -0.006074991159902875, -0.0023587773511103464, -0.004150319562286263, 0.011495564130978374]"
8,2,1,P,0.007611527597538007,0.0016852734978321019,5,"[0.005384762280787601, 0.007391783692239132, 0.006622879679633552, 0.008252912490936789, 0.010405299844092962]"
8,4,3,P,0.0052370077714857235,0.0028290024505717806,5,"[0.009995116992036732, 0.0030472532178210904, 0.004539237841633551, 0.006576052609991761, 0.0020273781959454854]"
8,5,4,CX,0.004224761679940022,0.000471653881978215,5,"[0.0048892274973336034, 0.004695078032668062, 0.003741422319723745, 0.003855630464029992, 0.0039424500859447055]"
8,6,5,P,0.00020457887683134895,0.0011907131053660452,5,"[9.072610380965014e-05, -0.0012817360856928915, -0.0006594124086809065, 0.00217299156355575, 0.0007003252111651428]"
8,7,6,CX,0.01609190275448232,0.002368136737231824,5,"[0.012434953353461797, 0.016704945196344793, 0.018934414081798957, 0.01795201912887626, 0.014433182011929785]"
8,8,7,H,0.016096764388234243,0.0020580412836584596,5,"[0.01251092318881649, 0.018307429077120504, 0.01527782129981141, 0.016772738707820912, 0.017614909667601892]"
8,9,8,P,0.004717637743604328,0.0015275448359660623,5,"[0.003553844537231708, 0.0034643160431808017, 0.004924778402777462, 0.007591358295213846, 0.004053891439617823]"
8,10,9,H,0.008803609875405077,0.0012237343188860929,5,"[0.007367645208690792, 0.009719420566953194, 0.009217328464139323, 0.010341768199233192, 0.0073718869380088895]"
8,11,10,P,0.0007702752164183715,0.0007197889939157923,5,"[-6.18795181427375e-05, 0.0012507157350972633, 7.652046280141937e-05, 0.001858420190684946, 0.000727599211650966]"
8,12,11,CX,0.005343819010388654,0.0011376825151519986,5,"[0.005980417788009243, 0.005349073558809341, 0.003964090769687718, 0.007107468301653375, 0.0043180446337835925]"
8,13,12,P,0.00638545040862262,0.0025313805224795624,5,"[0.009864076798923671, 0.007388695951090705, 0.005402588621299456, 0.002202373858192795, 0.007069516813606474]"
8,14,13,CX,0.0006558982037842564,0.0014461871016970512,5,"[0.001381554593611455, 0.0026926827200605963, 0.0011112938630495266, -0.001398887781556767, -0.0005071523762435291]"
8,15,14,RY,0.004782502826070588,0.002900487443046114,5,"[-0.0003687585027489394, 0.0071997865403280225, 0.0048552068347185945, 0.0043611537946536445, 0.007865125463401615]"
8,16,15,RY,0.007908618583208838,0.0008367565568718664,5,"[0.007524865002178186, 0.007133062482901981, 0.008759761760966241, 0.009057720828700997, 0.007067682841296779]"
8,17,16,CX,0.010481075766110357,0.0021626140978232736,5,"[0.0071179653543437735, 0.010202392226216658, 0.010049019069535219, 0.013843052029297935, 0.011192950151158195]"
8,18,17,RY,0.008026078769201079,0.0013138031188838237,5,"[0.007912909002495142, 0.0094140523666059, 0.005668024575304447, 0.008046177433392804, 0.009089230468207091]"
8,19,18,RY,0.000580216740150824,0.001395692021461664,5,"[-0.0014550247139984661, 1.8779829846373802e-05, 0.0002269447292362071, 0.0026901947587953034, 0.001420189096874702]"
16,2,1,P,0.006979629724543225,0.0017073838292058084,5,"[0.007570018619503629, 0.007993348741654908, 0.004003942745873292, 0.006360757453919284, 0.008970081061765006]"
16,4,3,P,0.005670005066743948,0.0012614445387943308,5,"[0.005723209875914689, 0.0042642656309248225, 0.007527145301998313, 0.004322030266445966, 0.006513374258435949]"
16,5,4,CX,0.004724333771498859,0.0013745748966295167,5,"[0.00704952636589354, 0.003111144799191716, 0.0037689525793780628, 0.004348020584750723, 0.005344024528280254]"
16,6,5,P,-0.001524717652913803,0.0015707520054638682,5,"[0.001175687982457982, -0.0014551751117601022, -0.0025725827752713275, -0.0012770490701434455, -0.003494469289852122]"
16,7,6,CX,0.01428756489217852,0.002493194464889416,5,"[0.015613848574168844, 0.012092164905698517, 0.01841834883074626, 0.013685971054031793, 0.011627491096247182]"
16,8,7,H,0.015565612478390708,0.0015597505512001569,5,"[0.015249417938428066, 0.01496201192926119, 0.01803878196785419, 0.016268239809053172, 0.01330961074735693]"
16,9,8,P,0.006029561842831303,0.0010197605507449151,5,"[0.006189286696563243, 0.004738513439332798, 0.007810611073226945, 0.0059537289244887765, 0.0054556690805447556]"
16,10,9,H,0.00803758507084161,0.0015854544909569381,5,"[0.009427402303891993, 0.007806120927560877, 0.006181022558630006, 0.006530269899193106, 0.010243109664932071]"
16,11,10,P,0.001634006233965577,0.0008907086929646277,5,"[0.001699948592715031, 0.003047645322384225, 0.002041504513269547, 0.0007839976942649663, 0.0005969350471941156]"
16,12,11,CX,0.006513986169168104,0.0019153930362160853,5,"[0.008579963729488459, 0.007242446950909527, 0.0028951752988913134, 0.0071597820201631445, 0.006692562846388076]"
16,13,12,P,0.005860924442646258,0.001526273350051017,5,"[0.005733025345217615, 0.003879083347733205, 0.007452346396364246, 0.004533176403717599, 0.007706990720198628]"
16,14,13,CX,0.0022174218533860396,0.002109392331579681,5,"[0.002412185353096513, 0.0006682587629547346, 0.006217174909510118, 0.001290263105501346, 0.0004992271358674879]"
16,15,14,RY,0.005825674463177809,0.003061746046494839,5,"[0.005203873363032524, 0.010727821885724, 0.007034259830550019, 0.0013594516424244862, 0.004802965594158012]"
16,16,15,RY,0.006928426729924879,0.0017199817887875283,5,"[0.003915888363099952, 0.008302675394530829, 0.006153395248547372, 0.00773822046727675, 0.008531954176169492]"
16,17,16,CX,0.010726579794828559,0.0008349133045278371,5,"[0.01050082410081591, 0.012193284476849659, 0.010412176528503337, 0.009648847833767288, 0.0108777660342066]"
16,18,17,RY,0.006844087764146746,0.0025438996688874295,5,"[0.005683866442393089, 0.006123702441517273, 0.006535528322845256, 0.011680370026203766, 0.004196971587774343]"
16,19,18,RY,8.369294324121236e-05,0.0007986261852643507,5,"[0.000583174979066504, 0.0010491040450448818, 0.0004699159401237264, -0.0005725749976579986, -0.001111155250371052]"
32,2,1,P,0.006598565886462428,0.0015224875850407041,5,"[0.004905442492828651, 0.007816004903092106, 0.00634367868817122, 0.005105198566270198, 0.008822504781949963]"
32,4,3,P,0.005568092014920326,0.001808359336490426,5,"[0.0033170436540970374, 0.004400902568575586, 0.00707151746767939, 0.004818494054075588, 0.008232502330174028]"
32,5,4,CX,0.004661550738565508,0.0015205319902616221,5,"[0.001765853446783375, 0.00510965460951548, 0.005015364430565946, 0.005135253514340223, 0.006281627691622513]"
32,6,5,P,-0.0005775304484254132,0.0019518402298221043,5,"[0.001216177769720995, -0.002645908090764345, 0.0011510791562552253, -0.0032419942781398005, 0.0006329932008008593]"
32,7,6,CX,0.014801377565794652,0.00205013741119406,5,"[0.016588103204020804, 0.013972758590071936, 0.01300470486342431, 0.017824186061848248, 0.012617135109607965]"
32,8,7,H,0.014770919886324937,0.0038240210713056688,5,"[0.012356556419799202, 0.011024859850893555, 0.011795017001339019, 0.020492630028592883, 0.018185536131000032]"
32,9,8,P,0.005277109660190556,0.001256049182738866,5,"[0.004847453892594635, 0.0033926095758538967, 0.005858432112468361, 0.0072189475593160855, 0.005068105160719803]"
32,10,9,H,0.008777956566773552,0.001321915279446644,5,"[0.006522880647999083, 0.010285925438340768, 0.008148725198005352, 0.00933407146768747, 0.009598180081835075]"
32,11,10,P,0.0016834066155416599,0.0008808396935646186,5,"[0.0006075268050594561, 0.0009889314643914794, 0.0015631869985444653, 0.003096663375888274, 0.002160724433824623]"
32,12,11,CX,0.0033124622621763383,0.0018529725597842693,5,"[0.004304462480368268, -0.0003705044347663155, 0.004545898679179879, 0.003907686891584845, 0.004174767694515015]"
32,13,12,P,0.005516112751878061,0.0007983694164442322,5,"[0.005183417987553079, 0.004735048818880005, 0.004726614745700545, 0.006593681189501956, 0.0063418010177547154]"
32,14,13,CX,0.0013819740116907575,0.0010111131431627964,5,"[0.0007663278265067389, 0.0032091141313577284, 0.0004996093779416235, 0.0017472948696945114, 0.0006875238529531863]"
32,15,14,RY,0.008866662964843407,0.0037103126559710257,5,"[0.0035689562707181444, 0.006997408525228155, 0.014081004753418011, 0.011864923453675288, 0.007821021821177436]"
32,16,15,RY,0.0061235113812876645,0.0004731880406907117,5,"[0.006469005003678004, 0.006653866705578971, 0.006180529885018572, 0.005282564608004477, 0.006031590704158298]"
32,17,16,CX,0.008120802746456527,0.0011176198469282127,5,"[0.009541190018038073, 0.006864378265735564, 0.009317714968993614, 0.00705913114847671, 0.007821599331038669]"
32,18,17,RY,0.008044501744562274,0.0030105707353642454,5,"[0.011363617370745392, 0.004906048850504042, 0.003953330564020842, 0.01018353010174531, 0.009815981835795785]"
32,19,18,RY,-2.583975836856873e-05,0.00042443814711909346,5,"[-0.00013859081540904103, 0.000661356349907988, 0.00013118225091982786, -0.00014296770760120986, -0.0006401788696604086]"
